Total Games,Wins,Losses,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goals Made,Field Goal Attempts,Field Goal Pct,Free Throws Made,Free Throw Attempts,Free Throw Pct,3-pt Field Goals Made,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
0.0,2.0,-2.0,7.4,-43.0,-1.6,0.2,2.3,13.0,3.0,0.9,-48.0,-89.0,2.4,23.0,53.0,1.2,1.6,1.2,-6.5,-1.3,-3.0,4.2,0.03,1.0,0.0,-1.6,-28.0,-1.0,-0.7,-18.0,-0.7,-2.5,-10.0,-0.4,-72.0,-2.6,9.5,58.0,2.1,0.2,-0.1,-6.0,-0.2,-0.8,-23.0,-0.8,0.8,13.0,0.5,-19.0,-0.7,6.0,W
-1.0,-13.0,12.0,-45.5,-104.0,-1.4,-8.8,-16.3,-191.0,-179.0,-7.8,-28.0,-10.0,-3.4,7.0,85.0,-4.7,-6.9,-6.0,4.4,-10.5,3.7,6.9,-0.17,-403.0,-12.2,-6.7,-171.0,-5.0,-5.6,-46.0,-1.3,-7.8,-125.0,-3.7,33.0,1.3,-2.6,-111.0,-3.6,-0.38,0.4,-2.0,0.1,3.0,33.0,1.7,-1.6,-23.0,-0.7,-7.0,0.5,-5.0,L
1.0,2.0,-1.0,6.7,-154.0,-8.5,-2.8,-6.1,-162.0,-145.0,-7.0,75.0,96.0,1.9,-10.0,24.0,-3.6,-6.7,-4.5,10.4,-9.9,7.5,2.5,-0.07,-259.0,-12.3,3.1,11.0,-0.8,4.1,42.0,1.2,2.2,-31.0,-2.1,23.0,0.7,-5.9,-119.0,-4.9,-0.31,-0.6,-25.0,-1.2,1.7,0.0,-0.6,0.2,-3.0,-0.2,-22.0,-1.6,-9.0,W
0.0,-1.0,1.0,-3.7,-58.0,-2.1,-0.6,-1.3,-3.0,23.0,-0.8,-93.0,-147.0,1.5,24.0,66.0,0.6,-0.1,-0.9,-11.1,-1.3,-4.8,6.0,-0.01,-75.0,-2.8,2.1,70.0,2.6,-1.5,-14.0,-0.5,5.6,84.0,3.1,-16.0,-0.6,0.6,2.0,0.1,0.08,-2.8,-54.0,-2.0,-1.6,-40.0,-1.4,2.8,38.0,1.4,-12.0,-0.5,12.0,L
0.0,-7.0,7.0,-26.0,52.0,1.9,-5.3,-9.9,-70.0,17.0,-5.6,-20.0,22.0,-6.0,36.0,155.0,-3.6,-4.3,-4.5,1.1,-8.9,0.7,8.3,-0.1,-124.0,-4.6,-3.4,-54.0,-2.0,-3.0,2.0,0.1,-3.7,-56.0,-2.1,20.0,0.7,-2.4,-48.0,-1.8,-0.21,0.8,19.0,0.7,1.5,37.0,1.3,-1.9,-29.0,-1.0,50.0,1.9,-9.0,L
1.0,2.0,-1.0,6.2,185.0,4.3,2.7,2.7,102.0,175.0,2.3,18.0,53.0,-2.7,1.0,19.0,-0.9,1.6,0.7,-1.5,5.4,-2.1,-3.4,0.03,223.0,5.8,1.4,80.0,1.7,1.5,46.0,1.3,1.3,34.0,0.4,-15.0,-0.7,4.4,77.0,2.4,0.13,2.4,64.0,2.1,-0.4,33.0,0.7,1.9,25.0,0.8,144.0,4.4,8.0,L
2.0,7.0,-5.0,22.4,62.0,-0.1,1.1,9.9,105.0,-2.0,7.6,-37.0,-70.0,2.0,67.0,99.0,5.9,10.0,8.3,-5.0,-1.7,-5.3,6.9,0.1,240.0,4.1,-1.8,-81.0,-5.0,-4.7,-74.0,-3.3,1.0,-7.0,-1.8,-55.0,-2.2,6.3,91.0,2.5,0.18,-0.5,-4.0,-0.5,0.6,24.0,-0.1,0.1,1.0,-0.1,39.0,0.0,6.0,W
-1.0,-12.0,11.0,-42.0,-22.0,-0.8,-8.1,-18.2,-140.0,-36.0,-8.8,-70.0,-52.0,-5.2,1.0,104.0,-7.8,-8.7,-8.3,-2.5,-6.3,1.0,5.4,-0.19,-349.0,-10.3,-5.0,-97.0,-2.3,-3.8,2.0,0.4,-6.1,-99.0,-2.8,42.0,1.6,-6.0,-108.0,-3.5,-0.42,-1.7,-32.0,-0.9,3.0,49.0,2.2,-5.0,-71.0,-2.4,9.0,1.0,-5.0,L
2.0,-5.0,7.0,-22.1,-86.0,-5.6,-12.0,-10.0,-76.0,-290.0,3.3,-212.0,-279.0,-2.0,83.0,189.0,2.9,7.2,4.8,-9.9,-9.1,-7.2,16.3,-0.1,-281.0,-15.2,-11.9,-453.0,-18.8,-19.0,-263.0,-10.3,-4.8,-190.0,-8.6,-44.0,-1.8,6.5,5.0,-0.7,-0.19,3.6,62.0,1.9,5.1,78.0,1.9,-3.6,-70.0,-2.7,29.0,-0.3,6.0,L
0.0,5.0,-5.0,17.2,147.0,2.8,5.7,3.0,133.0,234.0,1.6,3.0,35.0,-3.8,-60.0,-121.0,-3.0,-1.4,-2.0,-3.4,14.1,-1.8,-12.3,0.03,209.0,7.2,4.3,259.0,8.9,4.9,75.0,2.6,3.7,184.0,6.4,11.0,0.4,-5.3,32.0,1.1,0.16,-0.3,6.0,0.2,-3.3,-33.0,-1.2,2.6,51.0,1.7,-46.0,-1.6,-7.0,W
